City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,fortuna,40.5982,-124.1573,9.64,92,4,1.14,US,1744984234
329,kidal,18.4411,1.4078,40.31,10,27,3.42,ML,1744984234
330,cestos city,5.46,-9.5828,29.88,67,57,3.64,LR,1744984234
331,remire-montjoly,4.9167,-52.2667,27.02,89,75,1.54,GF,1744984218
332,champerico,14.3,-91.9167,29.2,72,91,3.39,GT,1744984234
333,yuzhno-kurilsk,44.0306,145.8556,1.49,94,100,3.24,RU,1744984234
334,stara vyzhivka,51.4376,24.44,24.71,47,21,5.2,UA,1744984235
335,temiskaming shores,47.4938,-79.7153,0.89,87,100,3.86,CA,1744984235
336,urangan,-25.3,152.9,21.76,72,4,1.3,AU,1744984235
337,tarawa,1.419,172.984,27.05,94,40,2.57,KI,1744983917
338,sodankyla,67.4167,26.6,8.72,97,100,5.18,FI,1744984235
339,nikolayevsk-on-amure,53.1406,140.73,-2.62,91,11,1.02,RU,1744984235
340,pandan,14.0453,124.1694,26.09,80,62,3.52,PH,1744984235
341,charters towers,-20.1,146.2667,22.1,79,100,2.42,AU,1744984235
342,happy valley-goose bay,53.3168,-60.3315,4.17,81,75,5.66,CA,1744984236
343,wynne,35.2245,-90.7868,21.11,82,97,8.03,US,1744984236
344,gotsucho,35.0,132.2167,17.04,83,17,2.57,JP,1744984236
345,gaspe,48.8334,-64.4819,3.12,56,20,5.14,CA,1744984236
346,lexington,37.9887,-84.4777,20.08,40,100,7.72,US,1744984203
347,kailua-kona,19.6406,-155.9956,22.38,85,100,0.89,US,1744984236
348,talnakh,69.4865,88.3972,-15.35,97,98,0.86,RU,1744984237
349,enewetak,11.3474,162.3373,27.23,78,83,10.02,MH,1744984237
350,zhuangyuan,37.2975,120.8256,12.87,42,99,2.89,CN,1744984237
351,fort mcmurray,56.7268,-111.381,-4.23,86,0,3.6,CA,1744984237
352,ouesso,1.6136,16.0517,32.6,44,85,1.79,CG,1744984237
353,dawesville,30.9224,-84.0091,21.87,67,0,4.12,US,1744984238
354,springhill,33.006,-93.4668,21.65,81,98,4.06,US,1744984238
355,gbarnga,6.9956,-9.4722,33.88,47,89,0.31,LR,1744984238
356,netrakona,24.8833,90.7167,27.62,61,62,2.54,BD,1744984238
357,mersrags,57.3354,23.1246,19.42,52,63,4.18,LV,1744984238
358,sarangani,5.4033,125.4636,29.0,76,100,8.37,PH,1744984238
